FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
Glycerol kinase (EC 2.7.1.30)	0	0	1	0	0	1	1	1	1	1	
Glycerol uptake facilitator protein	0	0	0	0	0	1	0	1	1	1	
Glycerol-1-phosphate dehydrogenase [NAD(P)] (EC 1.1.1.261)	0	0	3	0	0	0	0	0	0	0	
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	0	0	0	0	0	1	4	2	2	3	
Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	0	0	0	0	0	0	5	0	0	1	
Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	0	0	0	0	0	0	5	0	0	1	
Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	0	0	0	0	0	0	1	0	0	0	
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	0	0	0	0	0	1	2	1	1	2	
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	0	0	2	0	0	2	1	2	2	1	
Glycerol-3-phosphate regulon repressor GlpR	0	0	0	0	0	0	1	0	0	0	
Glycerol-3-phosphate responsive antiterminator (mRNA-binding)	0	0	2	0	0	0	0	0	0	0	
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	0	0	1	0	1	3	6	3	3	5	
Glycine betaine ABC transport system permease protein	0	0	1	0	0	1	1	1	1	1	
Glycine betaine ABC transport system, permease/glycine betaine-binding protein OpuABC	0	0	0	0	0	0	1	0	0	0	
Glycine cleavage system H protein	0	0	0	0	0	1	1	1	1	2	
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	0	0	0	0	0	1	1	1	1	1	
Glycine oxidase ThiO (EC 1.4.3.19)	0	0	0	0	0	2	1	2	2	3	
Glycogen branching enzyme, GH-57-type, archaeal (EC 2.4.1.18)	0	0	0	0	0	1	0	1	1	1	
Glycogen debranching enzyme (EC 3.2.1.-)	2	2	1	2	2	0	2	0	0	2	
Glycogen phosphorylase (EC 2.4.1.1)	1	1	1	1	1	0	1	1	1	1	
Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE	0	0	0	0	0	0	1	0	0	0	
Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	0	0	0	0	0	0	2	0	0	0	
Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	0	0	1	1	0	3	4	2	2	0	
Glycolate oxidase (EC 1.1.3.15)	0	0	0	0	0	0	1	0	0	0	
Glycosyl transferase, group 1 family protein	0	0	0	1	0	1	0	1	1	0	
Glycosyl transferase, group 2 family protein	0	0	0	0	0	4	0	4	4	4	
Glycosyltransferase IroB	0	0	0	0	0	1	0	1	1	2	
Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)	1	1	0	1	0	1	1	1	1	1	
Glycosyltransferase PglI (EC 2.4.1.-)	0	0	1	0	0	0	0	0	0	0	
Glycyl-tRNA synthetase (EC 6.1.1.14)	1	1	1	1	1	1	1	1	1	1	
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	0	0	0	0	0	0	1	0	0	1	
Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	0	0	0	0	0	0	1	0	0	1	
Guanine deaminase (EC 3.5.4.3)	0	0	0	0	0	1	1	1	1	0	
Guanylate kinase (EC 2.7.4.8)	1	1	1	1	1	1	1	1	1	1	
HTH-type transcriptional regulator IlvY	0	0	0	0	0	0	1	0	0	0	
Heat shock protein 60 family chaperone GroEL	1	1	1	1	1	2	2	2	2	2	
Heat shock protein 60 family co-chaperone GroES	1	1	1	1	1	2	2	2	2	2	
Heat shock protein GrpE	1	1	1	1	1	2	2	2	2	3	
Heat-inducible transcription repressor HrcA	1	1	1	1	1	1	1	1	1	1	
Helicase PriA essential for oriC/DnaA-independent DNA replication	1	1	1	1	1	1	1	1	1	1	
Heme ABC transporter, ATPase component HmuV	1	1	0	1	2	0	0	0	0	1	
Heme ABC transporter, cell surface heme and hemoprotein receptor HmuT	1	1	0	1	1	0	0	0	0	1	
Heme ABC transporter, permease protein HmuU	1	1	0	1	1	0	0	0	0	1	
Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB	0	0	0	0	0	0	1	1	1	1	
Heme oxygenase (EC 1.14.99.3)	0	0	0	0	0	0	0	0	0	1	
Hemin ABC transporter, permease protein	0	0	0	0	0	1	0	1	1	0	
Hemoglobin-dependent two component system response regulator HrrA	0	0	0	0	0	0	0	0	0	1	
Hemoglobin-dependent two component system, sensory histidine kinase HrrS	0	0	0	0	0	0	0	0	0	1	
Hemoglobin-like protein HbO	0	0	0	0	0	1	2	1	1	1	
Hemoprotein HemQ, essential component of heme biosynthetic pathway in Gram-positive bacteria	1	1	1	1	1	1	1	1	1	1	
HigA protein (antitoxin to HigB)	1	2	0	0	0	0	3	0	0	0	
High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	0	0	0	0	0	2	4	2	2	3	
High-affinity choline uptake protein BetT	0	0	1	1	1	1	0	1	1	0	
High-affnity carbon uptake protein Hat/HatR	0	0	0	0	0	1	0	1	1	3	
Histidine ammonia-lyase (EC 4.3.1.3)	0	0	0	0	0	1	2	3	2	1	
Histidinol dehydrogenase (EC 1.1.1.23)	0	0	1	1	0	1	1	1	1	1	
Histidinol-phosphatase (EC 3.1.3.15)	0	0	0	0	0	1	1	1	1	0	
Histidinol-phosphatase [alternative form] (EC 3.1.3.15)	0	0	1	1	0	1	1	1	1	1	
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	0	0	1	1	0	1	1	1	1	1	
Histidyl-tRNA synthetase (EC 6.1.1.21)	1	1	1	1	1	1	1	1	1	1	
Histone acetyltransferase HPA2 and related acetyltransferases	0	0	0	0	0	0	5	1	2	1	
Holliday junction DNA helicase RuvA	1	1	1	1	1	1	1	1	1	1	
Holliday junction DNA helicase RuvB	1	1	1	1	1	1	1	1	1	1	
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	1	1	1	1	1	0	1	0	0	0	
Homocysteine S-methyltransferase (EC 2.1.1.10)	0	0	0	0	0	1	0	1	1	0	
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	0	0	0	0	0	1	1	1	1	1	
Homolog of fucose/glucose/galactose permeases	1	1	0	0	0	0	0	0	0	0	
Homoserine O-acetyltransferase (EC 2.3.1.31)	1	1	1	0	1	0	0	0	0	1	
Homoserine dehydrogenase (EC 1.1.1.3)	1	1	1	1	1	1	1	1	1	1	
Homoserine kinase (EC 2.7.1.39)	1	1	1	1	1	1	1	1	1	1	
HoxN/HupN/NixA family nickel/cobalt transporter	0	0	0	0	0	0	1	0	0	0	
HspR, transcriptional repressor of DnaK operon	1	1	1	1	1	1	4	1	1	1	
HtrA protease/chaperone protein	0	0	0	0	0	1	2	1	1	1	
Hyaluronan synthase (EC 2.4.1.212)	0	0	0	0	0	1	1	1	1	0	
Hydrogen peroxide-inducible genes activator	0	0	0	0	0	2	2	2	2	1	
Hydrogenase assembly protein HoxX	0	0	0	0	0	0	1	0	0	0	
Hydrolase (HAD superfamily) in cluster with DUF1447	1	1	0	0	0	0	0	0	0	0	
Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	1	1	2	1	1	1	1	1	1	2	
Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0	0	0	0	0	1	1	1	1	1	
Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	1	1	0	1	1	0	0	0	0	0	
Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	1	1	0	1	1	0	0	0	0	0	
Hydroxymethylpyrimidine ABC transporter, substrate-binding component	0	0	1	0	0	1	0	1	1	0	
Hydroxymethylpyrimidine ABC transporter, transmembrane component	0	0	1	0	0	1	1	2	2	0	
Hypothetical YciO protein, TsaC/YrdC paralog	1	1	0	1	1	0	0	0	0	1	
Hypothetical nudix hydrolase YeaB	0	0	0	0	0	1	1	1	1	1	
Hypothetical protein YaeJ with similarity to translation release factor	0	0	0	0	0	0	1	0	0	1	
Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	1	1	1	1	1	1	1	1	1	1	
Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	1	1	1	1	1	1	1	1	1	1	
Hypothetical zinc-type alcohol dehydrogenase-like protein YphC	0	0	0	0	0	0	1	0	0	0	
Hypothetical, related to broad specificity phosphatases COG0406	0	0	0	0	0	0	1	1	1	1	
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	1	1	1	1	1	1	1	1	1	1	
IMP cyclohydrolase (EC 3.5.4.10)	0	0	1	1	0	0	1	1	1	1	
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	0	0	1	1	0	1	1	1	1	1	
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	0	0	1	1	0	1	1	1	1	1	
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	0	0	1	1	0	1	1	1	1	1	
Imidazolonepropionase (EC 3.5.2.7)	0	0	0	0	0	1	1	1	1	1	
Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	2	2	1	1	1	1	1	1	1	1	
Indoleacetamide hydrolase (EC 3.5.1.-)	0	0	0	0	0	0	0	0	0	1	
Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits	0	0	0	0	0	0	0	0	0	1	
Inner membrane protein YihY, formerly thought to be RNase BN	0	0	0	0	0	0	1	0	0	0	
Inner membrane protein translocase component YidC, long form	1	1	1	1	1	1	1	1	1	1	
Inorganic pyrophosphatase (EC 3.6.1.1)	1	1	1	1	1	1	2	1	1	1	
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	2	2	2	2	2	3	3	3	3	7	
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	3	4	0	4	3	0	1	0	0	1	
Inositol transport system ATP-binding protein	0	0	0	0	0	0	1	0	0	0	
Inositol transport system permease protein	0	0	0	0	0	0	1	0	0	0	
Inositol transport system sugar-binding protein	0	0	0	0	0	0	1	0	0	0	
Inositol-1-monophosphatase (EC 3.1.3.25)	0	0	1	0	0	1	3	1	1	4	
Inositol-1-phosphate synthase (EC 5.5.1.4)	1	1	1	0	0	2	1	2	2	1	
Inosose dehydratase (EC 4.2.1.44)	0	0	0	0	0	0	1	0	0	0	
Inosose isomerase (EC 5.3.99.-)	0	0	0	0	0	1	1	1	1	0	
Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage	0	0	0	0	0	1	0	0	0	0	
Iron-binding ferritin-like antioxidant protein	1	1	1	1	1	1	2	1	1	0	
Iron-chelator utilization protein	0	0	0	0	0	2	0	2	2	0	
Iron-dependent repressor IdeR/DtxR	1	1	0	1	1	1	1	1	1	1	
Iron-sulfur cluster assembly ATPase protein SufC	1	1	1	1	1	1	1	1	1	1	
Iron-sulfur cluster assembly protein SufB	1	1	1	1	1	1	1	1	1	1	
Iron-sulfur cluster assembly protein SufD	1	1	1	1	1	1	1	1	1	1	
Iron-sulfur cluster regulator SufR	1	1	1	1	0	1	1	1	1	1	
Isochorismatase (EC 3.3.2.1)	0	0	2	0	0	0	2	0	0	2	
Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis	0	0	0	0	0	0	0	0	0	6	
Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis	0	0	0	0	0	1	0	1	1	3	
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	0	0	0	0	0	1	1	1	1	1	
Isocitrate lyase (EC 4.1.3.1)	0	0	0	0	0	0	1	1	1	0	
Isoleucyl-tRNA synthetase (EC 6.1.1.5)	1	1	1	1	1	1	1	1	1	1	
Isopentenyl phosphate kinase	0	0	0	0	0	1	0	1	1	0	
Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	1	1	1	1	1	1	1	1	1	1	
Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)	1	1	0	1	1	1	0	1	1	0	
Isovaleryl-CoA dehydrogenase (EC 1.3.8.4)	0	0	0	0	0	1	1	1	1	1	
KH domain RNA binding protein YlqC	1	1	1	1	1	1	1	1	1	1	
Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)	0	0	0	0	0	1	1	1	1	0	
Ketol-acid reductoisomerase (EC 1.1.1.86)	1	1	1	1	1	1	2	1	1	1	
Ketopantoate reductase PanG (EC 1.1.1.169)	1	1	1	1	1	1	1	1	1	1	
Ku domain protein	0	0	0	0	0	1	2	1	1	1	
Kup system potassium uptake protein	1	1	1	1	1	0	0	0	0	1	
Kynureninase (EC 3.7.1.3)	0	0	0	0	0	1	1	1	1	2	
Kynurenine 3-monooxygenase (EC 1.14.13.9)	0	0	0	0	0	0	2	0	0	2	
Kynurenine formamidase, bacterial (EC 3.5.1.9)	0	0	0	0	0	0	1	0	0	1	
L-2,4-diaminobutyric acid acetyltransferase (EC 2.3.1.-)	0	0	0	0	0	1	1	1	1	1	
L-Proline/Glycine betaine transporter ProP	0	0	1	1	0	0	2	0	0	2	
L-alanine-DL-glutamate epimerase	0	0	0	0	0	0	1	0	0	0	
L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	0	0	0	0	0	0	0	0	0	1	
L-alanyl-gamma-D-glutamyl-L-diamino acid endopeptidase	0	0	0	0	0	0	1	0	0	0	
L-arabinose isomerase (EC 5.3.1.4)	0	1	0	0	1	0	0	0	0	0	
L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	0	1	0	0	1	0	0	0	0	0	
L-arabinose transport system permease protein (TC 3.A.1.2.2)	0	1	0	0	1	0	0	0	0	0	
L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	0	1	0	0	1	0	0	0	0	0	
L-asparaginase (EC 3.5.1.1)	0	0	0	0	0	1	1	1	1	3	
L-asparaginase I, cytoplasmic (EC 3.5.1.1)	0	0	1	0	0	0	0	0	0	0	
L-aspartate oxidase (EC 1.4.3.16)	0	0	0	0	0	1	1	1	1	1	
L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	0	0	0	0	0	0	1	0	0	1	
L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)	0	0	0	0	0	0	1	0	0	1	
L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC	1	1	0	1	0	1	1	1	1	1	
L-ectoine synthase (EC 4.2.1.-)	0	0	0	0	0	1	1	1	1	2	
L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)	0	0	2	0	0	0	6	0	0	0	
L-fuconate dehydratase (EC 4.2.1.68)	1	1	0	1	1	1	1	1	1	0	
L-fuconolactone hydrolase	0	0	0	0	0	0	1	0	0	0	
L-idonate 5-dehydrogenase (EC 1.1.1.264)	0	1	1	0	1	1	1	1	1	0	
L-lactate dehydrogenase (EC 1.1.1.27)	1	1	1	1	1	0	0	0	0	1	
L-lactate dehydrogenase (EC 1.1.2.3)	0	0	1	0	0	1	1	1	1	2	
L-lactate permease	2	2	1	1	0	0	1	0	0	0	
L-malyl-CoA/beta-methylmalyl-CoA lyase (EC 4.1.3.-)	0	0	0	0	0	0	0	0	0	1	
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	0	0	2	0	0	2	3	2	2	1	
L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1)	0	0	1	0	0	1	2	1	1	1	
L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	0	0	1	0	0	2	1	2	2	1	
L-rhamnonate dehydratase (EC 4.2.1.90)	1	1	0	0	0	0	0	0	0	0	
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0	2	0	0	1	0	0	0	0	0	
L-serine dehydratase (EC 4.3.1.17)	1	1	0	1	1	0	1	0	0	1	
L-serine dehydratase, alpha subunit (EC 4.3.1.17)	0	0	1	0	0	0	0	0	0	0	
L-serine dehydratase, beta subunit (EC 4.3.1.17)	0	0	1	0	0	0	0	0	0	0	
L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)	0	0	0	0	0	0	1	0	0	1	
L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	0	0	0	0	0	0	1	0	0	1	
L-threonine 3-dehydrogenase (EC 1.1.1.103)	0	0	0	0	0	0	1	0	0	2	
LSU rRNA 2'-O-methyl-C2498 methyltransferase RlmM	0	0	0	0	0	0	1	0	0	0	
LSU ribosomal protein L10p (P0)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L11p (L12e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L13p (L13Ae)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L14p (L23e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L15p (L27Ae)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L16p (L10e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L17p	1	1	1	1	1	2	1	1	2	1	
LSU ribosomal protein L18p (L5e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L19p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L1p (L10Ae)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L20p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L21p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L22p (L17e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L23p (L23Ae)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L24p (L26e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L25p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L27p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L28p	1	1	2	1	1	2	1	2	2	1	
LSU ribosomal protein L29p (L35e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L2p (L8e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L30p (L7e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L31p	1	1	0	1	1	2	2	2	2	1	
LSU ribosomal protein L31p, zinc-dependent	1	1	0	1	1	1	1	1	1	0	
LSU ribosomal protein L31p, zinc-independent	0	0	0	0	0	0	1	0	0	0	
LSU ribosomal protein L32p	1	1	1	1	0	2	1	2	2	1	
LSU ribosomal protein L33p	1	1	2	1	1	2	1	2	2	1	
LSU ribosomal protein L33p, zinc-dependent	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L33p, zinc-independent	0	0	1	0	0	1	0	1	1	0	
LSU ribosomal protein L34p	1	0	0	1	1	1	1	1	1	1	
LSU ribosomal protein L35p	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L36p	1	1	2	0	0	2	1	2	2	1	
LSU ribosomal protein L3p (L3e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L4p (L1e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L5p (L11e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L6p (L9e)	1	1	1	1	1	1	1	1	1	1	
LSU ribosomal protein L7/L12 (P1/P2)	1	1	1	1	1	0	1	1	1	1	
LSU ribosomal protein L9p	1	1	1	1	1	1	1	1	1	1	
Lactaldehyde reductase (EC 1.1.1.77)	0	0	0	1	1	0	0	0	0	0	
Lactam utilization protein LamB	0	0	0	1	1	1	1	1	1	1	
Lactate 2-monooxygenase (EC 1.13.12.4)	0	0	0	0	0	0	1	0	0	1	
Lactoylglutathione lyase (EC 4.4.1.5)	0	0	0	0	0	2	1	1	2	0	
Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase	0	0	0	0	0	1	1	1	1	1	
Lanthionine biosynthesis cyclase LanC	0	0	0	0	0	0	0	1	0	2	
Lanthionine biosynthesis protein LanB	0	0	1	0	0	0	0	1	0	2	
Lanthionine biosynthesis protein LanL	0	0	1	0	0	2	0	2	2	2	
Lanthionine biosynthesis protein LanM	0	0	0	0	0	1	1	1	1	0	
Large exoproteins involved in heme utilization or adhesion	0	0	0	0	0	0	1	0	0	0	
Large-conductance mechanosensitive channel	1	1	1	1	1	1	1	1	1	1	
Leucine dehydrogenase (EC 1.4.1.9)	0	0	0	0	0	0	1	0	0	0	
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	0	0	0	0	0	1	3	1	1	0	
Leucyl-tRNA synthetase (EC 6.1.1.4)	1	1	1	1	1	1	1	1	1	1	
Lipid A export ATP-binding/permease protein MsbA (EC 3.6.3.25)	0	0	1	0	0	0	0	0	0	1	
Lipoate synthase	0	0	1	0	0	1	1	1	1	1	
Lipoate-protein ligase A	1	1	0	1	1	0	0	0	0	0	
Lipoprotein releasing system ATP-binding protein LolD	0	0	0	0	0	0	2	0	0	3	
Lipoprotein signal peptidase (EC 3.4.23.36)	1	1	1	1	1	1	1	2	2	1	
Lon-like protease with PDZ domain	1	1	1	1	0	0	0	0	0	1	
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	4	4	3	6	2	8	7	8	7	16	
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	1	1	1	1	1	2	0	1	1	1	
Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	0	0	0	0	0	0	1	0	0	0	
Low-affinity gluconate/H+ symporter GntU	1	1	1	0	1	1	0	1	1	0	
Lycopene beta cyclase (EC 1.14.-.-)	0	0	0	0	0	0	1	0	0	1	
Lycopene cyclase	0	0	0	0	0	0	2	0	0	0	
Lysine 2,3-aminomutase (EC 5.4.3.2)	0	0	0	0	0	0	1	0	0	1	
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	0	0	1	0	0	0	0	0	0	0	
Lysophospholipase (EC 3.1.1.5)	1	1	2	1	1	0	2	0	0	1	
Lysyl-tRNA synthetase (class I) (EC 6.1.1.6)	0	0	0	0	0	0	1	0	0	0	
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	1	1	1	1	1	1	2	1	1	1	
Lysyl-tRNA synthetase (class II) related protein found fused to membrane protein	0	0	1	0	0	0	0	0	0	0	
MCE-family lipoprotein LprK (MCE-family lipoprotein Mce1e)	0	0	0	0	0	0	1	0	0	1	
MCE-family protein Mce1A	0	0	0	0	0	0	2	0	0	1	
MCE-family protein Mce1B	0	0	0	0	0	0	1	0	0	1	
MCE-family protein Mce1C	0	0	0	0	0	0	1	0	0	1	
MCE-family protein Mce1D	0	0	0	0	0	0	1	0	0	1	
MCE-family protein Mce1F	0	0	0	0	0	0	1	0	0	1	
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	0	0	0	0	0	1	0	1	1	0	
Magnesium and cobalt efflux protein CorC	3	3	2	2	2	5	4	5	5	3	
Magnesium and cobalt transport protein CorA	0	0	0	0	0	1	2	1	1	2	
Magnesium chelatase, subunit ChlI (EC 6.6.1.1)	0	0	0	0	0	0	1	0	0	1	
Malate dehydrogenase (EC 1.1.1.37)	0	0	1	0	0	1	2	1	1	2	
Malate synthase (EC 2.3.3.9)	0	0	0	0	0	0	1	1	1	0	
Maleylpyruvate isomerase, mycothiol-dependent (EC 5.2.1.4)	0	0	0	0	0	2	0	2	2	0	
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	0	0	0	0	0	20	3	24	39	18	
Malto-oligosyltrehalose synthase (EC 5.4.99.15)	1	1	0	1	0	0	1	0	0	1	
Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141)	1	1	0	1	0	0	1	0	0	1	
Maltodextrin glucosidase (EC 3.2.1.20)	0	0	0	0	0	0	0	0	0	1	
Maltose O-acetyltransferase (EC 2.3.1.79)	0	0	1	0	0	0	1	0	0	0	
Maltose operon transcriptional repressor MalR, LacI family	1	1	1	1	0	0	0	0	0	0	
Maltose phosphorylase (EC 2.4.1.8)	0	0	0	0	0	0	1	0	0	1	
Maltose/maltodextrin ABC transporter, permease protein MalF	1	1	0	1	0	0	2	0	0	1	
Maltose/maltodextrin ABC transporter, permease protein MalG	1	1	0	1	0	0	2	0	0	2	
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	1	1	0	1	0	2	3	2	2	4	
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	0	0	1	0	0	0	0	0	0	0	
Malyl-CoA lyase (EC 4.1.3.24)	0	0	0	0	0	0	0	0	0	1	
Mannonate dehydratase (EC 4.2.1.8)	1	1	0	1	1	0	0	0	0	0	
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	1	1	1	1	1	0	1	0	0	1	
Mannose-6-phosphate isomerase (EC 5.3.1.8)	1	1	1	1	1	1	1	1	1	1	
Mannoside ABC transport system, ATP-binding protein 1	0	0	0	0	0	0	1	0	0	0	
Mannoside ABC transport system, ATP-binding protein 2	0	0	0	0	0	0	1	0	0	0	
Mannoside ABC transport system, permease protein 2	0	0	0	0	0	0	1	0	0	0	
MaoC-like dehydratase	0	0	1	0	0	0	1	0	0	0	
Membrane alanine aminopeptidase N (EC 3.4.11.2)	1	1	1	1	1	1	3	1	1	1	
Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	2	1	0	1	0	0	0	0	0	2	
Menaquinone via futalosine polyprenyltransferase (MenA homolog)	0	0	0	0	0	0	1	0	0	0	
Menaquinone via futalosine step 1	0	0	0	0	0	0	1	0	0	0	
Menaquinone via futalosine step 2	0	0	0	0	0	0	1	0	0	0	
Menaquinone via futalosine step 3	0	0	0	0	0	0	1	0	0	0	
Menaquinone via futalosine step 4	0	0	0	0	0	0	1	0	0	0	
Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	0	1	0	0	0	0	0	0	0	0	
Mesaconyl-CoA hydratase	0	0	0	0	0	0	0	0	0	1	
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	1	1	0	1	1	0	0	0	0	0	
Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	1	1	1	1	1	1	1	1	1	1	
Metal-dependent hydrolases of the beta-lactamase superfamily III	0	0	0	0	0	0	3	1	1	1	
Metallo-beta-lactamase family protein, RNA-specific	0	0	0	0	0	0	1	0	0	0	
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	1	1	1	1	1	1	2	2	1	1	
Methionine ABC transporter ATP-binding protein	3	2	7	3	3	9	10	9	9	14	
Methionine ABC transporter permease protein	1	1	1	1	1	1	0	1	1	0	
Methionine ABC transporter substrate-binding protein	1	1	1	1	1	1	0	1	1	0	
Methionine aminopeptidase (EC 3.4.11.18)	2	2	2	2	2	3	3	4	4	3	
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	1	1	1	1	1	1	1	1	1	3	
Methionyl-tRNA synthetase (EC 6.1.1.10)	1	1	1	1	1	1	1	1	1	1	
Methionyl-tRNA synthetase-related protein	0	0	0	0	0	0	0	0	0	3	
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	1	1	0	0	0	0	0	0	0	0	
